Date,Close,Adj. Close,P/E (LTM),EPS - Est High (NTM),EPS - Est Low (NTM),Volume,SI (%),Vol,# Buys,# Sell,# Hold,Total Rec,% Buy,% Sell,% Hold,Rating,Mkt Cap,EPS - Est Avg (NTM),std_5days,std_10days,std_15days
1/28/2008,32.72,24.19553948,18.58652647,2.04,1.86,81015320,1.152546787,0.291264225,15,0,7,22,0.681818182,0,0.318181818,4.25,304524.3773,75.82,0.617316774,0.802167732,0.860364264
1/29/2008,32.6,24.10680278,18.51836073,2.04,1.86,68013420,1.152546787,0.287838581,15,0,7,22,0.681818182,0,0.318181818,4.25,303407.5397,73.95,0.584747809,1.018335507,0.850104755
1/30/2008,32.2,23.81101379,18.29114158,2.04,1.86,106418100,1.152546787,0.287125738,15,0,7,22,0.681818182,0,0.318181818,4.25,299684.7478,74.21,0.490581288,1.397346216,0.806541706
1/31/2008,32.6,24.10680278,18.51836073,2.04,1.86,103637400,1.152546787,0.291514482,15,0,7,22,0.681818182,0,0.318181818,4.25,303407.5397,77.7,0.391049869,1.735820064,0.851768468
2/1/2008,30.4498,22.51678906,17.29694419,2.04,1.86,291106700,1.152546787,0.36624232,14,0,7,21,0.666666667,0,0.333333333,4.23333,283395.6719,74.63,0.268923781,1.896654553,0.791296104
2/4/2008,30.19,22.32467411,17.14936535,2.05,1.86,119988100,1.152546787,0.363996887,14,0,6,20,0.7,0,0.3,4.27586,280977.7185,73.95,0.950866136,1.889451162,0.968171651
2/5/2008,29.07,21.49646493,16.51315173,2.05,1.87,137524500,1.152546787,0.372161125,14,0,6,20,0.7,0,0.3,4.27586,270553.9012,72.09,1.190666119,1.839045671,1.132128515
2/6/2008,28.52,21.08975507,16.2007254,2.05,1.87,138170000,1.152546787,0.370073834,14,0,6,20,0.7,0,0.3,4.27586,265435.0624,68.49,1.469324746,1.668749047,1.337300081
2/7/2008,28.12,20.79396608,15.97350625,2.05,1.87,165006400,1.152546787,0.359475575,14,0,6,20,0.7,0,0.3,4.27586,261712.2705,70.91,1.574484553,1.407547151,1.548024585
2/8/2008,28.56,21.11933397,16.22344731,2.05,1.87,124860100,1.152546787,0.344366512,14,0,6,20,0.7,0,0.3,4.27586,265807.3415,73.5,1.020211747,0.810756631,1.769942669
2/11/2008,28.21,20.8605186,16.02463056,2.05,1.87,156799600,0.963713368,0.343909338,14,0,7,21,0.666666667,0,0.333333333,4.24138,262549.8986,75.19,0.800168732,0.605519979,1.864141013
2/12/2008,28.34,20.95665002,16.09847678,2.05,1.87,84346030,0.963713368,0.34704869,14,0,7,21,0.666666667,0,0.333333333,4.24138,263759.806,74.45,0.37326934,0.317666842,1.943380266
2/13/2008,28.96,21.41512296,16.45066646,2.05,1.87,88990430,0.963713368,0.354194043,14,0,7,21,0.666666667,0,0.333333333,4.24138,269530.1334,77.73,0.19078784,0.251077677,2.022699964
2/14/2008,28.5,21.07496562,16.18936444,2.05,1.87,69093460,0.963713368,0.355080292,14,0,7,21,0.666666667,0,0.333333333,4.24138,265248.9228,75.8,0.33544001,0.263944439,2.03343785
2/15/2008,28.42,21.01580782,16.14392061,2.1,1.88,68146330,0.963713368,0.351543417,14,0,7,21,0.666666667,0,0.333333333,4.25,264504.3644,72.96,0.284569851,0.335400258,1.933422444
2/19/2008,28.17,20.91187942,16.00190864,2.1,1.88,68243610,0.963713368,0.351390199,14,0,7,21,0.666666667,0,0.333333333,4.25,262177.6194,72.08,0.285797131,0.353967983,1.813001569
2/20/2008,28.22,20.94899671,16.03031103,2.1,1.88,93033830,0.963713368,0.352552981,14,0,7,21,0.666666667,0,0.333333333,4.25,262642.9684,73.64,0.295837793,0.356228703,1.670049706
2/21/2008,28.1,20.85991522,15.96214529,2.05,1.87,98779980,0.963713368,0.341533393,13,0,8,21,0.619047619,0,0.380952381,4.17857,261526.1309,69.9,0.314133729,0.355154114,1.464720537
2/22/2008,27.68,20.54813001,15.72356518,2.05,1.87,125708800,0.963713368,0.342584762,13,0,8,21,0.619047619,0,0.380952381,4.17857,257617.1994,72.08,0.170352576,0.265329983,1.236777057
2/25/2008,27.84,20.66690533,15.81445284,2.05,1.87,109955300,0.963713368,0.300979657,13,0,8,21,0.619047619,0,0.380952381,4.17857,259106.3161,73.27,0.272249885,0.371896642,0.765750502
2/26/2008,28.38,21.06777202,16.12119869,2.05,1.87,108923600,0.963713368,0.315594954,13,0,8,21,0.619047619,0,0.380952381,4.17857,264132.0852,71.69,0.231991379,0.464416648,0.602874069
